# Lane-Emden solution for 3D geometry, n=1.5
# xi_1 = 3.6537540101e+00
# dtheta_1 = -2.0331244769e-01
# n_points = 366
# Columns: xi  theta  dtheta/dxi
3.0430430431e+00  1.4673968049e-01  -2.7880222486e-01
3.0530530531e+00  1.4395523413e-01  -2.7752986953e-01
3.0630630631e+00  1.4118353174e-01  -2.7625600293e-01
3.0730730731e+00  1.3842458779e-01  -2.7498076609e-01
3.0830830832e+00  1.3567841528e-01  -2.7370429942e-01
3.0930930932e+00  1.3294502583e-01  -2.7242674266e-01
3.1031031032e+00  1.3022442963e-01  -2.7114823489e-01
3.1131131132e+00  1.2751663552e-01  -2.6986891476e-01
3.1231231232e+00  1.2482165098e-01  -2.6858892024e-01
3.1331331332e+00  1.2213948201e-01  -2.6730838852e-01
3.1431431432e+00  1.1947013325e-01  -2.6602745627e-01
3.1531531532e+00  1.1681360801e-01  -2.6474625965e-01
3.1631631632e+00  1.1416990827e-01  -2.6346493435e-01
3.1731731732e+00  1.1153903464e-01  -2.6218361552e-01
3.1831831833e+00  1.0892098640e-01  -2.6090243784e-01
3.1931931933e+00  1.0631576150e-01  -2.5962153546e-01
3.2032032033e+00  1.0372335652e-01  -2.5834104205e-01
3.2132132133e+00  1.0114376673e-01  -2.5706109076e-01
3.2232232233e+00  9.8576986027e-02  -2.5578181425e-01
3.2332332333e+00  9.6023006985e-02  -2.5450334468e-01
3.2432432433e+00  9.3481820869e-02  -2.5322581419e-01
3.2532532533e+00  9.0953417636e-02  -2.5194935450e-01
3.2632632633e+00  8.8437785884e-02  -2.5067409643e-01
3.2732732733e+00  8.5934912910e-02  -2.4940017074e-01
3.2832832834e+00  8.3444784710e-02  -2.4812770808e-01
3.2932932934e+00  8.0967385978e-02  -2.4685683905e-01
3.3033033034e+00  7.8502700106e-02  -2.4558769416e-01
3.3133133134e+00  7.6050709187e-02  -2.4432040385e-01
3.3233233234e+00  7.3611394012e-02  -2.4305509847e-01
